Aisa_Order,person_name,ig_name,ig_id,ig_strong_id,done,posts,Followers,Following,ig_url,ig_url ig_private,ig_notSure_notFound,ig_repeat,category,followers,Top200新增
59,瑀熙-Yuci,瑀熙Yuci🐻,uccu0323,,,,,,https://www.instagram.com/uccu0323/,,,,"旅遊,遊戲電玩","3,371,994",1
60,這群人TGOP,這群人 TGOP,thisgroupofpeople,3179636262,1,2365,63.4萬,15,https://www.instagram.com/thisgroupofpeople/,,,,趣味搞笑,"6,437,127",
61,3cTim哥生活的日常,Tim哥,3ctim,,,,,,https://www.instagram.com/3ctim/,,,,3C科技,"1,525,334",1
62,百變沛莉-Peri,沛莉 Peri Chang,peri168,,,,,,https://www.instagram.com/peri168/,,,,"美妝保養,時尚潮流,家庭母嬰","1,166,453",1
63,鹿人,鹿人,twodeerman,1422088439,1,920,41萬,207,https://www.instagram.com/twodeerman/,,,,"表演藝術,趣味搞笑","2,154,070",
64,關韶文,關韶文 關關✨,ethan_kuan_kuan,270217123,1,1904,36.7萬,500,https://www.instagram.com/ethan_kuan_kuan/,,,,"美妝保養,趣味搞笑,表演藝術","1,108,765",
65,健人蓋伊,健人蓋伊,gu_yuze,2945747715,g,,,,https://www.instagram.com/gu_yuze/,,,,運動健身,"1,495,840",
66,GINA-HELLO!,GINA HELLO,ginachiki,,,,,,https://www.instagram.com/ginachiki/,,,,"美妝保養,時尚潮流,旅遊","1,866,192",1
67,我是老爸-我不要當爸!,我是老爸，我不要當爸,daddy.iam,3638274950,g,546,10.2萬,300,https://www.instagram.com/daddy.iam/,,,,"旅遊,美食料理","1,212,417",
68,蛋事超有事EggThings,蛋哥超有事EggThings,egg_things,,,,,,https://www.instagram.com/egg_things/,,,,表演藝術,"1,842,817",1
69,雨揚樂活家族,招財｜數字測驗,yu.young_fate,,1,,,,https://www.instagram.com/yu.young_fate/,,,,綜合其他,"1,345,502",1
70,肉比頭Zoebitalk,肉比頭#用奇怪方式環遊世界的情侶,zoebitalk,,,,,,https://www.instagram.com/zoebitalk/,,,,"旅遊,知識教育","1,030,757",1
71,現在宅知道,現在宅知道,cb.otaku,,,,,,https://www.instagram.com/cb.otaku/,,,,遊戲電玩,"528,036",1
72,人生肥宅x尊,人生肥宅x尊,loserzun,,1,,,,https://www.instagram.com/loserzun/,,,,"趣味搞笑,遊戲電玩","2,599,791",1
73,啾啾妹-by-LIIN,啾啾妹 by LIIN,chuchumei__,,,,,,https://www.instagram.com/chuchumei__/,,,,"趣味搞笑,設計創作","2,012,172",1
74,閃電狼Flash-Wolves,FlashWolves 閃電狼,flashwolves2013,3882104752,1,,,,https://www.instagram.com/flashwolves2013/,,,,遊戲電玩,"509,072",
75,融融歷險記-Ben’s-Adventure,Ben Wu 融融歷險記,benwoooo,,,,,,https://www.instagram.com/benwoooo/,,,,旅遊,"894,363",1
76,星期天,星期天 Sunday,sundayright_dub,1795150072,g,1955,18萬,1570,https://www.instagram.com/sundayright_dub/,,,,綜合其他,"1,273,443",
77,Yun-Chou,Yun Chou,riceandshine.co,851583,g,2951,83.1萬,991,https://www.instagram.com/riceandshine.co/,,,,家庭母嬰,"1,593,142",
78,MaoMaoTV,MaoMaoTV,maomaotv,,,,,,https://www.instagram.com/maomaotv/,,,,旅遊,"1,354,850",1
79,Evelyn-Chen-理科太太,Evelyn Chen 理科太太,liketaitai,,1,,,,https://www.instagram.com/liketaitai/,,,,"醫療健康,時事討論","2,387,970",1
80,小A辣,小A辣🌶️,ala780705,5703523434,g,1756,35.3萬,1481,https://www.instagram.com/ala780705/,,,,趣味搞笑,"2,843,019",
81,兔女狼,兔女狼Rabbit& Wolf,colorfulinsideus,,,,,,https://www.instagram.com/colorfulinsideus/,,,,旅遊,"485,115",1
82,有璟妍精요찡옌찡,有璟 요찡 🇰🇷,602avenue,,,,,,https://www.instagram.com/602avenue/,,,,"旅遊,美食料理","671,079",1
83,滴妹,滴妹,crown_du,,,,,,https://www.instagram.com/crown_du/,,,,"旅遊,美食料理,知識教育","2,423,665",1
84,莫彩曦Hailey,Hailey 莫彩曦,hailey_jane,,,,,,https://www.instagram.com/hailey_jane/,,,,綜合其他,"2,231,047",1
85,星光奈奈,星光奈奈,5inana,,,,,,https://www.instagram.com/5inana/,,,,"旅遊,表演藝術","979,182",1
